Country,Year,State,Type of Region,Month,Peak demand MW,Peak demand met MW,Peak Demand Not Met MW,Peak demand not met %
India,FY-2023,Kerala,Southern Region,Dec-23,4259.5937,4259.5937,0,0.00%
India,FY-2023,Lakshadweep,Southern Region,Dec-23,10.1361,10.1361,0,0.00%
India,FY-2023,Madhya Pradesh,Western Region,Dec-23,17819,17819,0,0.00%
India,FY-2023,Maharashtra,Western Region,Dec-23,27755,27755,0,0.00%
India,FY-2023,Manipur,North East Region,Dec-23,235.847,235,0.85,0.00%
India,FY-2023,Meghalaya,North East Region,Dec-23,349,349,0,0.00%
India,FY-2023,Mizoram,North East Region,Dec-23,140.251,140,0.25,0.00%
India,FY-2023,NagalAnd,North East Region,Dec-23,161.894,157,4.89,3.00%
India,FY-2023,Odisha,Eastern Region,Dec-23,5071.228887,5071.228887,0,0.00%
India,FY-2023,Puducherry,Southern Region,Dec-23,431.181091,431.181091,0,0.00%
India,FY-2023,Punjab,Northern Region,Dec-23,8040.68,8040.68,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Dec-23,17570,17570,0,0.00%
India,FY-2023,Sikkim,Eastern Region,Dec-23,109.301003,109.301003,0,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Dec-23,15557.5856,15557.5856,0,0.00%
India,FY-2023,Telangana,Southern Region,Dec-23,12666,12666,0,0.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Dec-23,1281,1281,0,0.00%
India,FY-2023,Tripura,North East Region,Dec-23,239.979,239,0.98,0.00%
India,FY-2023,Uttar Pradesh,Northern Region,Dec-23,19874,19874,0,0.00%
India,FY-2023,UttarakhAnd,Northern Region,Dec-23,2417,2417,0,0.00%
India,FY-2023,West Bengal,Eastern Region,Dec-23,6902.812771,6902.812771,0,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Nov-23,64,57,7,11.00%
India,FY-2023,Andhra Pradesh,Southern Region,Nov-23,12084,12084,0,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Nov-23,160,160,0,0.00%
India,FY-2023,Assam,North East Region,Nov-23,1932.159,1931,1.16,0.00%
India,FY-2023,Bihar,Eastern Region,Nov-23,5217.509801,5080.954385,136.56,3.00%
India,FY-2023,ChAndigarh,Northern Region,Nov-23,205,205,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Nov-23,4647.500975,4644.25,3.25,0.00%
India,FY-2023,Delhi,Northern Region,Nov-23,4320,4320,0,0.00%
India,FY-2023,Goa,Western Region,Nov-23,732.75,732.75,0,0.00%
India,FY-2023,Gujarat,Western Region,Nov-23,21701.5929,21694,7.59,0.00%
India,FY-2023,Haryana,Northern Region,Nov-23,7685,7685,0,0.00%
India,FY-2023,Himachal Pradesh,Northern Region,Nov-23,1977,1977,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Nov-23,1788.195876,1788.195876,0,0.00%
India,FY-2023,Karnataka,Southern Region,Nov-23,15300.76,15203,97.76,1.00%
India,FY-2023,Kerala,Southern Region,Nov-23,4292.7796,4292.7796,0,0.00%
India,FY-2023,Lakshadweep,Southern Region,Nov-23,10.2074,10.2074,0,0.00%
India,FY-2023,Madhya Pradesh,Western Region,Nov-23,17120.9358,17097,23.94,0.00%
India,FY-2023,Maharashtra,Western Region,Nov-23,28385.7738,28356,29.77,0.00%
India,FY-2023,Manipur,North East Region,Nov-23,207.684,207,0.68,0.00%
India,FY-2023,Meghalaya,North East Region,Nov-23,363,363,0,0.00%
India,FY-2023,Mizoram,North East Region,Nov-23,144.043,144,0.04,0.00%
India,FY-2023,NagalAnd,North East Region,Nov-23,147,147,0,0.00%
India,FY-2023,Odisha,Eastern Region,Nov-23,5160.175345,5147.249237,12.93,0.00%
India,FY-2023,Puducherry,Southern Region,Nov-23,466.509491,466.509491,0,0.00%
India,FY-2023,Punjab,Northern Region,Nov-23,7380.48,7380.48,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Nov-23,16409,16409,0,0.00%
India,FY-2023,Sikkim,Eastern Region,Nov-23,106.987615,106.987615,0,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Nov-23,15732.4498,15732.4498,0,0.00%
India,FY-2023,Telangana,Southern Region,Nov-23,11857,11857,0,0.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Nov-23,1267,1267,0,0.00%
India,FY-2023,Tripura,North East Region,Nov-23,302.57,299,3.57,1.00%
India,FY-2023,Uttar Pradesh,Northern Region,Nov-23,19033,19033,0,0.00%
India,FY-2023,UttarakhAnd,Northern Region,Nov-23,2141,2141,0,0.00%
India,FY-2023,West Bengal,Eastern Region,Nov-23,8559.279982,8523.519982,35.76,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Oct-23,63,55,8,13.00%
India,FY-2023,Andhra Pradesh,Southern Region,Oct-23,13028,13028,0,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Oct-23,167,167,0,0.00%
India,FY-2023,Assam,North East Region,Oct-23,2237.351,2226,11.35,1.00%
India,FY-2023,Bihar,Eastern Region,Oct-23,6575.256326,6446.717643,128.54,2.00%
India,FY-2023,ChAndigarh,Northern Region,Oct-23,265,265,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Oct-23,5325.25,5325.25,0,0.00%
India,FY-2023,Delhi,Northern Region,Oct-23,5583,5583,0,0.00%
India,FY-2023,Goa,Western Region,Oct-23,734,734,0,0.00%
India,FY-2023,Gujarat,Western Region,Oct-23,21689,21689,0,0.00%
India,FY-2023,Haryana,Northern Region,Oct-23,9947,9947,0,0.00%
India,FY-2023,Himachal Pradesh,Northern Region,Oct-23,1871,1871,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Oct-23,1829.712858,1829.712858,0,0.00%
India,FY-2023,Karnataka,Southern Region,Oct-23,15978,15978,0,0.00%
India,FY-2023,Kerala,Southern Region,Oct-23,4159.003,4143.448,15.55,0.00%
India,FY-2023,Lakshadweep,Southern Region,Oct-23,10.6743,10.6743,0,0.00%
India,FY-2023,Madhya Pradesh,Western Region,Oct-23,15251.5852,15209,42.59,0.00%
India,FY-2023,Maharashtra,Western Region,Oct-23,28206,28206,0,0.00%
India,FY-2023,Manipur,North East Region,Oct-23,214,214,0,0.00%
India,FY-2023,Meghalaya,North East Region,Oct-23,335.603,334,1.6,0.00%
India,FY-2023,Mizoram,North East Region,Oct-23,141,141,0,0.00%
India,FY-2023,NagalAnd,North East Region,Oct-23,166,166,0,0.00%
India,FY-2023,Odisha,Eastern Region,Oct-23,5825.910278,5817.901322,8.01,0.00%
India,FY-2023,Puducherry,Southern Region,Oct-23,483.571899,483.571899,0,0.00%
India,FY-2023,Punjab,Northern Region,Oct-23,12213.48,12213.48,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Oct-23,15641,15641,0,0.00%
India,FY-2023,Sikkim,Eastern Region,Oct-23,79.582627,79.582627,0,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Oct-23,17078.9857,17078.9857,0,0.00%
India,FY-2023,Telangana,Southern Region,Oct-23,15266,15266,0,0.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Oct-23,1316,1316,0,0.00%
India,FY-2023,Tripura,North East Region,Oct-23,349,349,0,0.00%
India,FY-2023,Uttar Pradesh,Northern Region,Oct-23,24096,24096,0,0.00%
India,FY-2023,UttarakhAnd,Northern Region,Oct-23,2259,2259,0,0.00%
India,FY-2023,West Bengal,Eastern Region,Oct-23,9957.72222,9957.72222,0,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Sep-23,62,53,9,15.00%
India,FY-2023,Andhra Pradesh,Southern Region,Sep-23,12372,12372,0,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Sep-23,163,163,0,0.00%
India,FY-2023,Assam,North East Region,Sep-23,2413,2413,0,0.00%
India,FY-2023,Bihar,Eastern Region,Sep-23,7910.590088,7703.938277,206.65,3.00%
India,FY-2023,ChAndigarh,Northern Region,Sep-23,388,388,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Sep-23,5836.0824,5832,4.08,0.00%
India,FY-2023,Delhi,Northern Region,Sep-23,6993,6993,0,0.00%
India,FY-2023,Goa,Western Region,Sep-23,703.746225,703.5,0.25,0.00%
India,FY-2023,Gujarat,Western Region,Sep-23,24829.4944,24544,285.49,1.00%
India,FY-2023,Haryana,Northern Region,Sep-23,12753,12753,0,0.00%
India,FY-2023,Himachal Pradesh,Northern Region,Sep-23,1758,1758,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Sep-23,1959.637736,1955.360386,4.28,0.00%
India,FY-2023,Karnataka,Southern Region,Sep-23,14814.24267,14698,116.24,1.00%
India,FY-2023,Kerala,Southern Region,Sep-23,4108.827867,4107.4672,1.36,0.00%
India,FY-2023,Lakshadweep,Southern Region,Sep-23,11.06415,11.06415,0,0.00%
